method,high_burden_group,accuracy_pt,accuracy_ci_lo,accuracy_ci_hi,DPD_pt,DPD_ci_lo,DPD_ci_hi,EOD_pt,EOD_ci_lo,EOD_ci_hi,OCF_violation_pt,OCF_violation_ci_lo,OCF_violation_ci_hi,OCF_violation_ratio_spread_pt,OCF_violation_ratio_spread_ci_lo,OCF_violation_ratio_spread_ci_hi,TPR_Black_NH_pt,TPR_Black_NH_ci_lo,TPR_Black_NH_ci_hi,FPR_Black_NH_pt,FPR_Black_NH_ci_lo,FPR_Black_NH_ci_hi,rho_Black_NH_pt,rho_Black_NH_ci_lo,rho_Black_NH_ci_hi
Unmitigated,Black_NH,0.6774511928603321,0.6760016658528879,0.6788800272594109,0.1817019414704506,0.17665085112350554,0.18718897394598474,0.19886887224544061,0.18708811858063074,0.21010330585435336,0.3241927959547669,0.3088129240307728,0.34099599962126703,1.0277135350168427,0.9629620309329633,1.0977585923876934,0.6076289055012459,0.5996617587957694,0.6156626735980696,0.3049609118141302,0.2975233680572876,0.31225857384152167,0.46642579589610744,0.46049930742819095,0.4720669169965273
DP,Black_NH,0.6690357636159974,0.6675340155148869,0.6706206738087716,4.4919211069582854e-05,4.670648021158491e-05,0.0007779853500643349,0.09816173528476255,0.09066826501298153,0.10671295117892979,0.24117675197911728,0.23300231079985362,0.2509756757525216,0.7645469468570689,0.7231850406788465,0.8154870125407723,0.47600792281643345,0.4712634965899839,0.4815818508503273,0.20274713231533573,0.19701329296429768,0.2082550154485518,0.3485240984388847,0.34704214525588795,0.3500393359266799
OCF,Black_NH,0.6794225391462373,0.6779365226495938,0.6809422382482957,0.28754753119415566,0.278252625293948,0.2985106764396507,0.30960800143406886,0.28863588738082113,0.3273795412966523,0.00011885853297389659,4.184529049324135e-06,0.0009483250156516061,0.00037678975131871795,1.1345417075586672e-05,0.003053522622197119,0.6747172704619513,0.6680755050591408,0.6814571715949023,0.37195879301526996,0.36513475083487473,0.3789109761183969,0.5334719476446929,0.5278230643943395,0.539578346652308
EO,Black_NH,0.6292694007890607,0.5844361557964108,0.6517085436320293,0.10904404266649187,0.09382535900050856,0.11687400586760666,0.0909502232595436,0.05989690439453101,0.11244065307711128,0.2501864809005786,0.2012094893136345,0.3449129194754471,0.7931084092799046,0.6398006316909428,1.095347895815371,0.7043639384064916,0.64256732668833,0.7963909745009811,0.40315627968144957,0.33454516256482647,0.5242334083867224,0.5638421160269957,0.4987215132656115,0.6694986995615851
