method,accuracy,DPD,EOD,OCF_violation,OCF_violation_ratio_spread,rho_AIAN_NH,TPR_AIAN_NH,FPR_AIAN_NH,PPV_AIAN_NH,pi_AIAN_NH,rho_Asian_NH,TPR_Asian_NH,FPR_Asian_NH,PPV_Asian_NH,pi_Asian_NH,rho_Black_NH,TPR_Black_NH,FPR_Black_NH,PPV_Black_NH,pi_Black_NH,rho_Hispanic,TPR_Hispanic,FPR_Hispanic,PPV_Hispanic,pi_Hispanic,rho_Other_NH,TPR_Other_NH,FPR_Other_NH,PPV_Other_NH,pi_Other_NH,rho_White_NH,TPR_White_NH,FPR_White_NH,PPV_White_NH,pi_White_NH,fold,model,auroc,brier
Unmitigated,0.6749219943339817,0.19330614208069707,0.22897543927783726,0.38520127837024987,1.284096967962096,0.4231082180634662,0.5733082706766918,0.3084648493543759,0.5865384615384616,0.43287225386493083,0.4910546139359699,0.6313645621181263,0.4488671157379057,0.2972195589645254,0.23116760828625235,0.4532103825136612,0.5919594808483697,0.2906933629959214,0.7045968349660889,0.5394467213114754,0.49838313284180574,0.6289149888143176,0.38604091456077017,0.5837010121982871,0.46255335661622043,0.4555084745762712,0.6239043824701195,0.32149651236525045,0.6069767441860465,0.4431497175141243,0.30507699076110867,0.49363795736017646,0.21989167646006846,0.503518689432395,0.3111834579850418,2,LogisticRegression,0.6987791055537792,0.20178251499243086
DP,0.6671540660861391,0.00045157554011215906,0.11505242381081152,0.25819772341478303,0.8607212187207662,0.3482506102522376,0.4981203007518797,0.23385939741750358,0.6191588785046729,0.43287225386493083,0.3483992467043315,0.4684317718940937,0.31230863441518675,0.3108108108108108,0.23116760828625235,0.34870218579234974,0.4779993668882558,0.19725621060437523,0.7394711067580804,0.5394467213114754,0.34859655930668737,0.46140939597315433,0.25150421179302046,0.6122448979591837,0.46255335661622043,0.3485169491525424,0.49482071713147413,0.2320862396956246,0.6291793313069909,0.4431497175141243,0.34852617685877696,0.5470225640445626,0.2588523836288386,0.488412017167382,0.3111834579850418,2,LogisticRegression,0.6987791055537792,0.20178251499243086
EO,0.6061856208467694,0.10990224908153501,0.0877716184555074,0.3177056729360259,1.0590953722884024,0.5866558177379984,0.7537593984962406,0.45911047345767575,0.5561719833564494,0.43287225386493083,0.5108286252354048,0.6659877800407332,0.46417636252296385,0.3013824884792627,0.23116760828625235,0.6207308743169399,0.7537195314973093,0.4649610678531702,0.6550206327372765,0.5394467213114754,0.5759927564351313,0.7074944071588367,0.4628158844765343,0.568156299124186,0.46255335661622043,0.5801553672316384,0.7418326693227092,0.4514901712111604,0.566646378575776,0.4431497175141243,0.5485613726352838,0.7379969462195329,0.4629809411884932,0.4186449377646606,0.3111834579850418,2,LogisticRegression,0.6987791055537792,0.20178251499243086
Calibration,0.6977166207553821,0.5972434472538668,0.7284788748920905,0.3300233844950136,1.1001573753327545,0.35557363710333606,0.5093984962406015,0.2381635581061693,0.620137299771167,0.43287225386493083,0.002824858757062147,0.008146639511201629,0.001224739742804654,0.6666666666666666,0.23116760828625235,0.600068306010929,0.7366255144032922,0.44011865035224323,0.6622083096186682,0.5394467213114754,0.41469408873366964,0.5405480984340044,0.30637785800240674,0.6029320024953213,0.46255335661622043,0.4230225988700565,0.5912350597609561,0.2891566265060241,0.6193656093489148,0.4431497175141243,0.14868455785305762,0.2770457501555166,0.09069541668795666,0.5798319327731093,0.3111834579850418,2,LogisticRegression,0.6987791055537792,0.20178251499243086
OCF,0.6776505607269214,0.3084498780525454,0.329477283086697,0.00014613170650836375,0.00031655587211143477,0.43287225386493083,0.5845864661654135,0.3170731707317073,0.5845864661654135,0.43287225386493083,0.23116760828625235,0.34826883910386963,0.19595835884874463,0.34826883910386963,0.23116760828625235,0.5396174863387978,0.6777461221905666,0.3778272154245458,0.6775316455696202,0.5394467213114754,0.46255335661622043,0.5911633109619687,0.35186522262334535,0.5911633109619687,0.46255335661622043,0.4431497175141243,0.6087649402390438,0.31135066582117943,0.6087649402390438,0.4431497175141243,0.3111834579850418,0.50048068766612,0.2256655255224567,0.50048068766612,0.3111834579850418,2,LogisticRegression,0.6987791055537792,0.20178251499243086
Unmitigated,0.6689687585675679,0.18931257687718878,0.20748812124335894,0.3455662094487691,1.079289034022959,0.4278688524590164,0.5383304940374787,0.325434439178515,0.6053639846743295,0.48114754098360657,0.47732585320243104,0.6142322097378277,0.43177570093457945,0.32125367286973555,0.2496493688639551,0.4413851351351351,0.5844486934353091,0.2800143781452193,0.701875239188672,0.5300675675675676,0.4964520367936925,0.6138470451911935,0.398989898989899,0.5608787718369508,0.4536136662286465,0.4511738686628105,0.5852317360565593,0.3487394957983193,0.5618401206636501,0.43314052398775094,0.3071394599165037,0.4898373983739837,0.2242875796912205,0.4975911906400551,0.3120012682978386,3,LogisticRegression,0.6918681706290292,0.2034979799033943
DP,0.6623105343551314,0.0004004475816031805,0.10265995686556434,0.23679790770497944,0.7395786337823419,0.3483606557377049,0.4599659284497445,0.24486571879936808,0.6352941176470588,0.48114754098360657,0.3487611033193081,0.4812734082397004,0.30467289719626167,0.3445040214477212,0.2496493688639551,0.34847972972972974,0.47833014659018486,0.20201294033069733,0.7275811924381969,0.5300675675675676,0.3484888304862024,0.4524913093858633,0.2621452621452621,0.5889894419306184,0.4536136662286465,0.34841782919360326,0.4917517674783975,0.2388955582232893,0.611328125,0.43314052398775094,0.34853529214888407,0.539013098464318,0.2621553114678547,0.48251288790053576,0.3120012682978386,3,LogisticRegression,0.6918681706290292,0.2034979799033943
EO,0.6362651278770709,0.11194285976018098,0.11112424001546817,0.21183192818371638,0.6719592417484958,0.4704918032786885,0.5826235093696763,0.3665086887835703,0.5958188153310104,0.48114754098360657,0.4118747078073866,0.5561797752808989,0.36386292834890965,0.337116912599319,0.2496493688639551,0.5238175675675676,0.6673040152963671,0.3619698058950395,0.6752660432118671,0.5300675675675676,0.46346911957950065,0.5799536500579374,0.3667628667628668,0.5676212078253473,0.4536136662286465,0.4851990472949983,0.6402199528672428,0.3667466986794718,0.5715287517531557,0.43314052398775094,0.45250048441931334,0.6473577235772358,0.3641344701333948,0.44635627530364375,0.3120012682978386,3,LogisticRegression,0.6918681706290292,0.2034979799033943
Calibration,0.6939305716934083,0.5255156804771111,0.6181279137216147,0.29141994445415886,0.9101768105355875,0.41147540983606556,0.5281090289608177,0.3033175355450237,0.6175298804780877,0.48114754098360657,0.0383356708742403,0.08614232209737828,0.022429906542056073,0.5609756097560976,0.2496493688639551,0.5638513513513513,0.704270235818993,0.40546369518332137,0.6620730976632714,0.5300675675675676,0.39894875164257554,0.5115874855156431,0.30543530543530545,0.5816864295125165,0.4536136662286465,0.36577067029601906,0.5168892380204242,0.2503001200480192,0.6120930232558139,0.43314052398775094,0.11553841004773732,0.22199638663053298,0.06726067030237858,0.5994816282969965,0.3120012682978386,3,LogisticRegression,0.6918681706290292,0.2034979799033943
OCF,0.6708878937817409,0.28041819870361245,0.30121883973904506,0.00026717200688647786,0.0005793742757822518,0.48114754098360657,0.5843270868824532,0.3854660347551343,0.5843270868824532,0.48114754098360657,0.2496493688639551,0.36704119850187267,0.21059190031152647,0.36704119850187267,0.2496493688639551,0.5300675675675676,0.6682600382409177,0.37419122933141624,0.6682600382409177,0.5300675675675676,0.45387647831800265,0.5677867902665121,0.3593073593073593,0.567458019687319,0.4536136662286465,0.43314052398775094,0.5679497250589159,0.33013205282112845,0.5679497250589159,0.43314052398775094,0.3120893445366309,0.495483288166215,0.2289218321939729,0.4953434554382796,0.3120012682978386,3,LogisticRegression,0.6918681706290292,0.2034979799033943
