model,method,accuracy_mean,accuracy_std,DPD_mean,DPD_std,EOD_mean,EOD_std,OCF_violation_mean,OCF_violation_std,OCF_violation_ratio_spread_mean,OCF_violation_ratio_spread_std,rho_AIAN_NH_mean,rho_AIAN_NH_std,TPR_AIAN_NH_mean,TPR_AIAN_NH_std,FPR_AIAN_NH_mean,FPR_AIAN_NH_std,PPV_AIAN_NH_mean,PPV_AIAN_NH_std,pi_AIAN_NH_mean,pi_AIAN_NH_std,rho_Asian_NH_mean,rho_Asian_NH_std,TPR_Asian_NH_mean,TPR_Asian_NH_std,FPR_Asian_NH_mean,FPR_Asian_NH_std,PPV_Asian_NH_mean,PPV_Asian_NH_std,pi_Asian_NH_mean,pi_Asian_NH_std,rho_Black_NH_mean,rho_Black_NH_std,TPR_Black_NH_mean,TPR_Black_NH_std,FPR_Black_NH_mean,FPR_Black_NH_std,PPV_Black_NH_mean,PPV_Black_NH_std,pi_Black_NH_mean,pi_Black_NH_std,rho_Hispanic_mean,rho_Hispanic_std,TPR_Hispanic_mean,TPR_Hispanic_std,FPR_Hispanic_mean,FPR_Hispanic_std,PPV_Hispanic_mean,PPV_Hispanic_std,pi_Hispanic_mean,pi_Hispanic_std,rho_Other_NH_mean,rho_Other_NH_std,TPR_Other_NH_mean,TPR_Other_NH_std,FPR_Other_NH_mean,FPR_Other_NH_std,PPV_Other_NH_mean,PPV_Other_NH_std,pi_Other_NH_mean,pi_Other_NH_std,rho_White_NH_mean,rho_White_NH_std,TPR_White_NH_mean,TPR_White_NH_std,FPR_White_NH_mean,FPR_White_NH_std,PPV_White_NH_mean,PPV_White_NH_std,pi_White_NH_mean,pi_White_NH_std,auroc_mean,auroc_std,brier_mean,brier_std
LogisticRegression,Calibration,0.6950027036221991,0.0015191898630623714,0.5227910994912625,0.050899310177751164,0.6245319551358856,0.0656284760336954,0.29197847173875113,0.028098482052884708,0.9372757476651735,0.10007841239649033,0.4107333505128129,0.032262801904227756,0.5571687071376953,0.03548128375995514,0.2933547965473303,0.032341775992423584,0.6056913760846175,0.014648129450577486,0.44619702945955214,0.01789322039615248,0.02821682143281167,0.017602257439418834,0.06484644052513362,0.03981140626799841,0.015921166246795022,0.009848131027558986,0.5878152988757444,0.0439912586952853,0.24564588764255654,0.009685059172654276,0.5510079209240742,0.039796388607078736,0.689378395661019,0.03528456017315571,0.3926822936619763,0.04616192443549238,0.6686359411443468,0.018893020576597457,0.5334963797757105,0.004502957275040917,0.413055021389115,0.02542296880149706,0.5312347235898844,0.026515404719192753,0.31209481556577373,0.024633419774816194,0.592758294575844,0.010954548581976394,0.46053522864678975,0.004712795665117656,0.3363843766010817,0.07039288199893412,0.47513144372657745,0.09062728019946954,0.22848730970564662,0.05473508085706137,0.6198919740327274,0.022676124145174448,0.4364352161264919,0.007186819931606154,0.13818206453233145,0.014512430926857271,0.25903819527245703,0.023816615064521082,0.08345920083480293,0.010232361051078023,0.5850614581887945,0.007837510419766073,0.31165284612690103,0.0007313789896311914,0.6954387492231884,0.002621464242107602,0.20269822495783107,0.0006037123256094427
LogisticRegression,DP,0.6643776397428839,0.0018092275925099253,0.0005961107131950861,0.0002000830523956576,0.09956381439309898,0.012555206081251219,0.24159834320126677,0.01106859295466824,0.7683800135826637,0.05961577077911056,0.34856515306602015,0.00029053151009105795,0.4791253234593197,0.013428108477330804,0.24370452985303576,0.007479162808424605,0.6128355796488808,0.01660924307819353,0.44619702945955214,0.01789322039615248,0.34873496419482325,0.00025475173092414917,0.48764899312521715,0.013685257604996988,0.3033808315016211,0.005450260630997249,0.3436360159266051,0.01909816292749462,0.24564588764255654,0.009685059172654276,0.3485925169893758,7.517675829623449e-05,0.47431566409993,0.006699285412726105,0.2047307249434564,0.009039188713374582,0.7259424677924537,0.013954637628898474,0.5334963797757105,0.004502957275040917,0.34855848586102034,4.798818124595368e-05,0.4562487660839857,0.005186706438797785,0.2565709059498588,0.0054258240929324665,0.6028536229031138,0.011100135489241249,0.46053522864678975,0.004712795665117656,0.34871027261361853,0.0003752471097318024,0.4839726383561354,0.014254701382238354,0.24371042853256206,0.012963539674474151,0.6059095846386102,0.02527640945926774,0.4364352161264919,0.007186819931606154,0.3485391009982858,1.0829903689711313e-05,0.5433857985889239,0.002953757145178729,0.2603219402499334,0.0013100907304872107,0.4858773422237334,0.002634251394395295,0.31165284612690103,0.0007313789896311914,0.6954387492231884,0.002621464242107602,0.20269822495783107,0.0006037123256094427
LogisticRegression,EO,0.6225771801778841,0.02362386577493979,0.10287387476973257,0.017013464038664546,0.0853890490966775,0.030435786484303957,0.2581093148970891,0.05901854621765416,0.8285260510017023,0.18523180190753552,0.5227650986561373,0.06869094781983268,0.6627933183997406,0.07654553995648186,0.4105440496579401,0.06883537325563939,0.5671633687377142,0.02647315152815272,0.44619702945955214,0.01789322039615248,0.45949754444253194,0.07434591378710308,0.6202089604104339,0.08336815487245919,0.40708656511288777,0.07145032411922048,0.33333085905755366,0.018175179913695758,0.24564588764255654,0.009685059172654276,0.5623714192122646,0.060863133581182026,0.6978479850038454,0.05378719407847639,0.4073485203790854,0.0699848458596223,0.6644613858783326,0.024732005403815344,0.5334963797757105,0.004502957275040917,0.5091800438184395,0.07838943091426205,0.6290706345675174,0.08540192273276107,0.4067810335615043,0.0713532189380271,0.5706624639045861,0.008869640089551616,0.46053522864678975,0.004712795665117656,0.5208955442649654,0.060952054044745366,0.6687078286467578,0.05434732046086133,0.40622957992091013,0.06882798063557456,0.5631195085664614,0.02996166682107335,0.4364352161264919,0.007186819931606154,0.4946581352260967,0.06782203658318361,0.6876035233777392,0.062238121110299756,0.40729641728213084,0.07041515118109137,0.4362638400789075,0.022299514225952912,0.31165284612690103,0.0007313789896311914,0.6954387492231884,0.002621464242107602,0.20269822495783107,0.0006037123256094427
LogisticRegression,OCF,0.6744876401296696,0.0023814381737714946,0.2876406749824171,0.01359171007264172,0.2996238124354707,0.022445836775004016,0.0004925871493415637,0.0006428255589285669,0.0014415196232857586,0.002106396603192114,0.44619702945955214,0.01789322039615248,0.5863458545112018,0.003121716333470039,0.33412276074943964,0.025849743856893485,0.5863458545112018,0.003121716333470039,0.44619702945955214,0.01789322039615248,0.24592418077799255,0.009719482673230972,0.36944032827568574,0.016282133258073556,0.20558217705961415,0.006265902154419494,0.3690298244563074,0.016405530225098046,0.24564588764255654,0.009685059172654276,0.5335648557604097,0.004539974322172297,0.6690641407111564,0.007139888720901961,0.37853818906099657,0.0034036174043690207,0.6689785255548877,0.0071259759652776665,0.5334963797757105,0.004502957275040917,0.460587791064661,0.004636147765112022,0.5790953577707507,0.008658543055862361,0.3593661374804034,0.004581909007274615,0.5790296036549121,0.008744988964001405,0.46053522864678975,0.004712795665117656,0.4364352161264919,0.007186819931606154,0.5791580413873791,0.021216483063001463,0.3256202916310911,0.009896541761105106,0.5791580413873791,0.021216483063001463,0.4364352161264919,0.007186819931606154,0.31174441396455144,0.000683500112249494,0.49987676006818554,0.003204707660589171,0.2265652158980799,0.0013291022817812888,0.4997299489565143,0.0032337894788170645,0.31165284612690103,0.0007313789896311914,0.6954387492231884,0.002621464242107602,0.20269822495783107,0.0006037123256094427
LogisticRegression,Unmitigated,0.6718818090827512,0.00213966806466329,0.18792519829630377,0.0034732390789299662,0.21593608295289674,0.00981950731623671,0.3608319684429934,0.016362029026667058,1.1474909980825205,0.08760365572544186,0.42196554708799655,0.011365174078948286,0.5599174837504114,0.019162645284694704,0.3113567902339751,0.00976869616088246,0.5915439111443351,0.008602347676974308,0.44619702945955214,0.01789322039615248,0.4860064081745623,0.0063495942670079375,0.6331137808918483,0.011375190785950482,0.43808225616913116,0.008860872149368348,0.3200278062732068,0.013826989131562223,0.24564588764255654,0.009685059172654276,0.4451431861545355,0.004670907414954392,0.5824781660148545,0.008802183217026806,0.28799894732759973,0.008127711233880596,0.698106824349994,0.010779528365024773,0.5334963797757105,0.004502957275040917,0.49371352661871554,0.0034492168386431547,0.6144931032323588,0.007754956700145162,0.3905645971483252,0.004481944485411267,0.5731966156679975,0.008263504353044963,0.46053522864678975,0.004712795665117656,0.4523434236442473,0.005815485839965183,0.5961718248746315,0.01509265816719629,0.3406437833347504,0.017943583515394775,0.5754973807082211,0.02415937994700134,0.4364352161264919,0.007186819931606154,0.3068966777388137,0.0009330108744051338,0.4940833022940413,0.002725458709546821,0.22214617321623437,0.0015947162244735434,0.5017432969057888,0.0030994259129657835,0.31165284612690103,0.0007313789896311914,0.6954387492231884,0.002621464242107602,0.20269822495783107,0.0006037123256094427
MLP,Calibration,0.6984022947679243,0.0017273405906300004,0.5185261266001125,0.02876314013141997,0.6327769652740983,0.04320591969043571,0.2927475646907055,0.03494069676168224,0.9393837605890336,0.07990369757701608,0.40979143778467436,0.06544418089994461,0.552284888287422,0.06694810366779033,0.29535174576657786,0.06230207036542361,0.6045671239407203,0.020114239531221063,0.44619702945955214,0.01789322039615248,0.019933092137435122,0.014688692723034443,0.05031522377422729,0.03427081715167774,0.010162326937105113,0.008849869266392725,0.7173834740067738,0.1563579669933258,0.24564588764255654,0.009685059172654276,0.5384592187375477,0.016114354901598245,0.6830921890483257,0.013230209350773917,0.3729275698493784,0.024107080027971992,0.6771185580945902,0.0150012407603497,0.5334963797757105,0.004502957275040917,0.4105525245246987,0.026047916177341028,0.5440555355387688,0.028404444341449592,0.2965253967493842,0.02619348850270375,0.610848927164554,0.01513220357253537,0.46053522864678975,0.004712795665117656,0.3695488417356716,0.05436364345511672,0.5158464136421431,0.07014410224727487,0.25586789919647906,0.040603572645439824,0.6104211854913688,0.013011088518868247,0.4364352161264919,0.007186819931606154,0.1392337329306139,0.008889857376184326,0.263940488851184,0.014308218822530085,0.08276735939776306,0.0063879837011897355,0.5911480267280309,0.005870431308576395,0.31165284612690103,0.0007313789896311914,0.7041707340792698,0.0025811362515874596,0.20051243031817814,0.0006615768140839825
MLP,DP,0.6689156470627197,0.0021985751976624657,0.0006600033699153296,0.00045316855305719433,0.09988273967727225,0.011420633761521885,0.24193187764867458,0.011915664635898082,0.7695241172580178,0.06237897128441598,0.34856515306602015,0.00029053151009105795,0.4737415990438924,0.013892631432432623,0.24813148041533636,0.00684787327688121,0.6058718493816597,0.014313193465034891,0.44619702945955214,0.01789322039615248,0.34902292523772055,0.00040963268781634354,0.4931839666452661,0.002348017694420625,0.3020278978964176,0.0032788429033174457,0.34714557029651094,0.014646498590837751,0.24564588764255654,0.009685059172654276,0.3486609231526737,0.00018604839817245686,0.47667480102298104,0.00682448712093652,0.20214515821914542,0.00973185418433354,0.7294310582509452,0.015175725669009325,0.5334963797757105,0.004502957275040917,0.34855848586102034,4.798818124595368e-05,0.46994456573981136,0.00579490462362356,0.24483800322950605,0.006612440011772479,0.6209814079627037,0.013348645770308344,0.46053522864678975,0.004712795665117656,0.34857021659120957,0.00012219038776159111,0.48816262981575564,0.012148251328218004,0.24026607875067157,0.011632624057910764,0.611361015322158,0.02269130599865382,0.4364352161264919,0.007186819931606154,0.3485566975306163,2.1141851644221036e-05,0.5498098728333567,0.003700690626120006,0.2574365735045193,0.0017601630510376241,0.49159983592946876,0.0037385673902136157,0.31165284612690103,0.0007313789896311914,0.7041707340792698,0.0025811362515874596,0.20051243031817814,0.0006615768140839825
MLP,EO,0.6322825332875256,0.01286273996859796,0.10889452071907457,0.013317409036956135,0.08993232355041655,0.025221336498012864,0.24653942302949045,0.04029122689899962,0.7868047339055877,0.14243362630743578,0.5077965601662786,0.04237041796782675,0.6511929891505057,0.0554311323187792,0.39277153815043203,0.039584026587257896,0.5721346863169076,0.020728189046787217,0.44619702945955214,0.01789322039615248,0.44822290626155076,0.04100728580627704,0.6132287957785453,0.04900158179823551,0.3945130613489755,0.03938245429038785,0.33651211333322467,0.014596499672530043,0.24564588764255654,0.009685059172654276,0.5571174269806254,0.032519369498256456,0.7002388114787057,0.028674041042181624,0.3933252721961524,0.03871086304590991,0.6713344441096241,0.016809643331106183,0.5334963797757105,0.004502957275040917,0.5076020433870942,0.04271631240887601,0.640692291155786,0.04585899491593385,0.39395241013572224,0.03930029425068759,0.5819193806366246,0.008012943419373548,0.46053522864678975,0.004712795665117656,0.5125399187852953,0.039807703823745065,0.6638380910897725,0.04437404534280897,0.3951718797674414,0.040706753786104645,0.5660917819095762,0.02155933248662798,0.4364352161264919,0.007186819931606154,0.48657073661065064,0.03813439645187224,0.6907114786631394,0.035832825057154884,0.3941456048761946,0.03905368164779704,0.4433762692237037,0.012177821219432125,0.31165284612690103,0.0007313789896311914,0.7041707340792698,0.0025811362515874596,0.20051243031817814,0.0006615768140839825
MLP,OCF,0.6794199221744087,0.0023381665831711225,0.28766352144285245,0.013544626039821667,0.3074090213400632,0.028418964908515677,0.00024015610541457526,0.0002941841563607641,0.0007680372667602687,0.0009409384419255943,0.44619702945955214,0.01789322039615248,0.5857593379351386,0.00913786805510851,0.33425140503507966,0.02134508467962535,0.5857593379351386,0.00913786805510851,0.44619702945955214,0.01789322039615248,0.24583285833285812,0.009645714025560085,0.36835534024395705,0.02178921451051161,0.20570654297954682,0.0038582610250641664,0.36807538103393506,0.02182782971224379,0.24564588764255654,0.009685059172654276,0.5334963797757105,0.004502957275040917,0.6757643615840203,0.009201685140324604,0.3706967968697796,0.005673207121416583,0.6757643615840203,0.009201685140324604,0.5334963797757105,0.004502957275040917,0.46058668595059915,0.004699195461928957,0.5931730171671874,0.008942690962158821,0.347343061187261,0.004641963594811953,0.5931064382252985,0.0089339381448248,0.46053522864678975,0.004712795665117656,0.4364352161264919,0.007186819931606154,0.5848620676481869,0.020055289916144237,0.3212568026391741,0.010332695366459706,0.5848620676481869,0.020055289916144237,0.4364352161264919,0.007186819931606154,0.31165284612690103,0.0007313789896311914,0.5060117111437374,0.002656240315406396,0.2236548834570468,0.0011137475286099178,0.5060117111437374,0.002656240315406396,0.31165284612690103,0.0007313789896311914,0.7041707340792698,0.0025811362515874596,0.20051243031817814,0.0006615768140839825
MLP,Unmitigated,0.6768532560955431,0.0024964699600005854,0.18461662045147012,0.009913103647682706,0.20010937981921603,0.011160901485864239,0.3302454057872529,0.015117315033096391,1.0492603253631425,0.06617827269222278,0.4319241394761339,0.014546710091820023,0.5679036752671598,0.022152918470283972,0.32306055237731457,0.01588202727767387,0.5861741202708565,0.008356983075949533,0.44619702945955214,0.01789322039615248,0.4695444550880296,0.012773507790299461,0.6263099251023502,0.018890450241708427,0.41848619477683585,0.010485730424718924,0.3275894191168648,0.01177375961348568,0.24564588764255654,0.009685059172654276,0.46117873751450544,0.00839032483848541,0.6014970946513262,0.013931197183511936,0.3005750980190016,0.009269030407789848,0.6958260634632306,0.012074081024638798,0.5334963797757105,0.004502957275040917,0.49033706924505027,0.009082232750684436,0.6238993761499192,0.007734434048868717,0.37626084506553636,0.011399462560490223,0.5860760063826786,0.00909703314186524,0.46053522864678975,0.004712795665117656,0.4604918494727491,0.003003317929145013,0.6093852149585939,0.016982632094206588,0.34493443138113716,0.016288666649897074,0.5777172322304333,0.023074706334400643,0.4364352161264919,0.007186819931606154,0.3057204487935802,0.0011271754013451132,0.49863432303266847,0.003503728371950351,0.21837681495761982,0.0011257443447264676,0.5083074537617163,0.002815699712319308,0.31165284612690103,0.0007313789896311914,0.7041707340792698,0.0025811362515874596,0.20051243031817814,0.0006615768140839825
