method,accuracy,DPD,EOD,OCF_violation,OCF_violation_ratio_spread,rho_AIAN_NH,TPR_AIAN_NH,FPR_AIAN_NH,PPV_AIAN_NH,pi_AIAN_NH,rho_Asian_NH,TPR_Asian_NH,FPR_Asian_NH,PPV_Asian_NH,pi_Asian_NH,rho_Black_NH,TPR_Black_NH,FPR_Black_NH,PPV_Black_NH,pi_Black_NH,rho_Hispanic,TPR_Hispanic,FPR_Hispanic,PPV_Hispanic,pi_Hispanic,rho_Other_NH,TPR_Other_NH,FPR_Other_NH,PPV_Other_NH,pi_Other_NH,rho_White_NH,TPR_White_NH,FPR_White_NH,PPV_White_NH,pi_White_NH,fold,model,auroc,brier
Unmitigated,0.6606718740077475,0.18378236751773935,0.17433690902301283,0.3175156749897935,1.052657373961903,0.4279513888888889,0.5553602811950791,0.30360205831903947,0.640973630831643,0.4939236111111111,0.4622467771639042,0.6120527306967984,0.4137720901889092,0.3237051792828685,0.24447513812154695,0.4743993371996686,0.5995316159250585,0.31118747613592973,0.7153335661893119,0.5660314830157415,0.5072738024837374,0.6237100427888246,0.4040606871932173,0.57775705292609,0.46989946777055,0.4552186177715092,0.6001517450682853,0.32938076416337286,0.6127033307513555,0.46473906911142454,0.3234914349659981,0.4974632702674136,0.23943518116589638,0.5009579563597658,0.3257639666006714,2,LogisticRegression,0.6876871266798188,0.20835603607323133
DP,0.6530640756969581,0.0005179558011049745,0.1076321048616041,0.256024181604608,0.8487950797620151,0.3645833333333333,0.4868189806678383,0.24528301886792453,0.6595238095238095,0.4939236111111111,0.3651012891344383,0.504708097928437,0.31992687385740404,0.3379571248423707,0.24447513812154695,0.3648715824357912,0.4818501170960187,0.21229476899579994,0.7475022706630337,0.5660314830157415,0.3649911295091662,0.47143216712811475,0.2706381079875056,0.6069345430978613,0.46989946777055,0.364950634696756,0.4954476479514416,0.2516469038208169,0.6309178743961352,0.46473906911142454,0.36489627270379615,0.5472465912694219,0.27679186987718,0.4885586223165841,0.3257639666006714,2,LogisticRegression,0.6876871266798188,0.20835603607323133
EO,0.6243728964247158,0.115350449572094,0.08592719759015954,0.25348693102367253,0.8403833516364775,0.5321180555555556,0.6695957820738138,0.3979416809605489,0.6215334420880914,0.4939236111111111,0.44935543278084716,0.6064030131826742,0.39853747714808047,0.32991803278688525,0.24447513812154695,0.5647058823529412,0.6923302107728337,0.39824360442917145,0.6939553990610329,0.5660314830157415,0.5019515079834418,0.617669267556003,0.39937527889335117,0.5782280867106503,0.46989946777055,0.5239774330042313,0.6699544764795144,0.39723320158102765,0.5942126514131898,0.46473906911142454,0.4879917362486012,0.6715991967022513,0.3992799325894339,0.4483330393367437,0.3257639666006714,2,LogisticRegression,0.6876871266798188,0.20835603607323133
Calibration,0.6836984822505874,0.5670790096444772,0.6792258211055099,0.2973502033553538,0.9858029346776221,0.4861111111111111,0.6203866432337434,0.35506003430531735,0.6303571428571428,0.4939236111111111,0.006906077348066298,0.02071563088512241,0.002437538086532602,0.7333333333333333,0.24447513812154695,0.5739850869925435,0.6999414519906323,0.4096983581519664,0.690242494226328,0.5660314830157415,0.3774098166765228,0.48829599798640827,0.2791164658634538,0.6079598871827013,0.46989946777055,0.4643864598025388,0.6115326251896813,0.33662714097496704,0.6119969627942293,0.46473906911142454,0.1458552121890333,0.2600676461262023,0.09067231825958175,0.5808545797922569,0.3257639666006714,2,LogisticRegression,0.6876871266798188,0.20835603607323133
OCF,0.6636184670095892,0.3217220449770446,0.34681922227073664,0.00013641259143474982,0.0002927400468384356,0.4939236111111111,0.6239015817223199,0.3670668953687822,0.6239015817223199,0.4939236111111111,0.24447513812154695,0.3446327683615819,0.21206581352833637,0.3446327683615819,0.24447513812154695,0.5661971830985916,0.6914519906323185,0.4028255059182894,0.691249634182031,0.5660314830157415,0.46989946777055,0.5831865089353133,0.36947791164658633,0.5831865089353133,0.46989946777055,0.46473906911142454,0.6115326251896813,0.3372859025032938,0.6115326251896813,0.46473906911142454,0.3257639666006714,0.5001585456082867,0.24150345989837346,0.5001585456082867,0.3257639666006714,2,LogisticRegression,0.6876871266798188,0.20835603607323133
Unmitigated,0.6609893948053598,0.19735035409397222,0.1833620765503848,0.3256910232663996,1.0837846189059281,0.4252039891205802,0.5485074626865671,0.30864197530864196,0.6268656716417911,0.485947416137806,0.46420215255030417,0.5972762645914397,0.42205791743684534,0.3094758064516129,0.24052409920449228,0.47373620945167133,0.6082352941176471,0.30265619154508044,0.718804310045186,0.5598550963280092,0.5189073124179888,0.6335839598997494,0.41475073981333943,0.5811494252873564,0.47596325897650005,0.46413793103448275,0.6378132118451025,0.31964624131396085,0.6240713224368499,0.45413793103448274,0.3215569583240166,0.49262070419565673,0.23869584088646054,0.4999197646429527,0.32632140215689986,3,LogisticRegression,0.6858502326930904,0.20864446633192185
DP,0.6511589509112847,0.0006380197828086409,0.12053028401354549,0.2607520140191664,0.867690547035935,0.3653671804170444,0.4664179104477612,0.2698412698412698,0.6203473945409429,0.485947416137806,0.3654656059897052,0.48443579766536965,0.32778804682686385,0.31882202304737517,0.24052409920449228,0.3648937921949613,0.4888235294117647,0.20725776281331837,0.75,0.5598550963280092,0.3649051652153167,0.4731829573934837,0.26656043705895743,0.6171951618175875,0.47596325897650005,0.36482758620689654,0.5155656795747912,0.23941882501579279,0.6417769376181475,0.45413793103448274,0.3651593594661071,0.5416930212945393,0.27964868384098857,0.48407913330193125,0.32632140215689986,3,LogisticRegression,0.6858502326930904,0.20864446633192185
EO,0.5676255794754557,0.09762481910734944,0.07372314746697628,0.3774491569401616,1.2560173952849623,0.6563916591115141,0.7574626865671642,0.5608465608465608,0.5607734806629834,0.485947416137806,0.6031820308844174,0.7470817120622568,0.5576093653727665,0.2979053529868115,0.24052409920449228,0.7008068499917668,0.8126470588235294,0.5585484474373363,0.6492011278195489,0.5598550963280092,0.6566861505427651,0.7631578947368421,0.559981789210107,0.553133514986376,0.47596325897650005,0.676896551724138,0.8208048595292331,0.5571699305116866,0.5506877228731534,0.45413793103448274,0.6321574158482258,0.78584229390681,0.5577144024306177,0.40565396022093436,0.32632140215689986,3,LogisticRegression,0.6858502326930904,0.20864446633192185
Calibration,0.6852098812472217,0.5709135790635245,0.6995250629434653,0.3061150534673721,1.0186427100022888,0.42611060743427015,0.5503731343283582,0.30864197530864196,0.6276595744680851,0.485947416137806,0.0004679457182966776,0.0019455252918287938,0.0,1.0,0.24052409920449228,0.5713815247818211,0.7014705882352941,0.405910961466517,0.6873198847262247,0.5598550963280092,0.44769175712751996,0.5634085213032581,0.3425904848622809,0.5989874766853184,0.47596325897650005,0.45517241379310347,0.6317388003037205,0.30827542640555905,0.6303030303030303,0.45413793103448274,0.12762517415160218,0.2333965844402277,0.0763908392269002,0.5967654986522911,0.32632140215689986,3,LogisticRegression,0.6858502326930904,0.20864446633192185
OCF,0.6639486886391058,0.319330997123517,0.33444380865186535,0.0001151640504763377,0.00025062656641616776,0.485947416137806,0.6044776119402985,0.37389770723104054,0.6044776119402985,0.485947416137806,0.24052409920449228,0.3540856031128405,0.20455945779420825,0.3540856031128405,0.24052409920449228,0.5598550963280092,0.6885294117647058,0.3961840628507295,0.6885294117647058,0.5598550963280092,0.47608254801383754,0.5912280701754385,0.3715001138174368,0.5910799298421449,0.47596325897650005,0.45413793103448274,0.6302201974183751,0.3076437144662034,0.6302201974183751,0.45413793103448274,0.32635580247338275,0.4988931056293485,0.24278091250287231,0.49884051860440604,0.32632140215689986,3,LogisticRegression,0.6858502326930904,0.20864446633192185
Unmitigated,0.6619800596939099,0.20525728606632904,0.21207456125515206,0.3424563175750579,1.1276263137713718,0.4176013805004314,0.5491949910554562,0.295,0.6342975206611571,0.4823123382226057,0.48785046728971965,0.6148007590132827,0.4463732176069436,0.3103448275862069,0.24626168224299066,0.4818447771467906,0.6022554099359951,0.3256916996047431,0.7057142857142857,0.5646188263637928,0.5253649198372816,0.6426403641881638,0.42007266121707537,0.578683671145525,0.47307968413496054,0.4563505648750428,0.5920471281296024,0.3384516954574536,0.6031507876969242,0.46490927764464224,0.3201076337709526,0.49711286089238843,0.23429865635179153,0.507040745301708,0.32650053131320056,4,LogisticRegression,0.6883258428912649,0.2080052030405242
DP,0.652619546580301,0.00014447028477865276,0.11259945747128688,0.2538384449308442,0.83582896638515,0.36496980155306297,0.4865831842576029,0.25166666666666665,0.6430260047281324,0.4823123382226057,0.3649532710280374,0.47438330170777987,0.3292002479851209,0.3201024327784891,0.24626168224299066,0.3648253312682843,0.4791222188357208,0.216600790513834,0.7415094339622641,0.5646188263637928,0.36491983728164634,0.47546788062721296,0.2656675749318801,0.6163934426229508,0.47307968413496054,0.36494351249572066,0.4955817378497791,0.2514395393474088,0.6313320825515948,0.46490927764464224,0.36489219483769236,0.5462992125984252,0.2769493078175896,0.48882104274307187,0.32650053131320056,4,LogisticRegression,0.6883258428912649,0.2080052030405242
EO,0.6369213183463517,0.11144381345723631,0.1015438250484344,0.21819601945309092,0.7184670291315589,0.4883520276100086,0.627906976744186,0.35833333333333334,0.6201413427561837,0.4823123382226057,0.4,0.5332068311195446,0.356478611283323,0.3282710280373832,0.24626168224299066,0.5114438134572363,0.6312099969521487,0.35612648221343873,0.6968371467025573,0.5646188263637928,0.46554199569274946,0.5859888720283257,0.35740236148955495,0.5954767411976356,0.47307968413496054,0.4762067785005135,0.6163475699558174,0.3544465770953295,0.601725377426312,0.46490927764464224,0.4469886538922977,0.634750656167979,0.35596498371335505,0.46365030674846625,0.32650053131320056,4,LogisticRegression,0.6883258428912649,0.2080052030405242
