method,high_burden_group,accuracy_pt,accuracy_ci_lo,accuracy_ci_hi,DPD_pt,DPD_ci_lo,DPD_ci_hi,EOD_pt,EOD_ci_lo,EOD_ci_hi,OCF_violation_pt,OCF_violation_ci_lo,OCF_violation_ci_hi,OCF_violation_ratio_spread_pt,OCF_violation_ratio_spread_ci_lo,OCF_violation_ratio_spread_ci_hi,TPR_Black_NH_pt,TPR_Black_NH_ci_lo,TPR_Black_NH_ci_hi,FPR_Black_NH_pt,FPR_Black_NH_ci_lo,FPR_Black_NH_ci_hi,rho_Black_NH_pt,rho_Black_NH_ci_lo,rho_Black_NH_ci_hi
Unmitigated,Black_NH,0.6650037086334956,0.6634922499720582,0.6665230417907112,0.22435887549486533,0.219156454631497,0.22954803042822694,0.20995403911258675,0.20170448648687142,0.22095744112197505,0.3473403349776856,0.3317909340039982,0.36337525800449877,1.145248089341167,1.0763533228620255,1.2196633787012172,0.6078699845219669,0.6006955617217068,0.6148605192246828,0.2982791586998088,0.2903694413589069,0.3060371314158412,0.4723663508854149,0.46683798151266664,0.4776775529917959
DP,Black_NH,0.6564027271156992,0.6547795014174093,0.6580157286702771,0.00025248952055134666,6.448846251472378e-05,0.0014480278769885332,0.11876955791039728,0.1109304564758451,0.1269929530573748,0.2553297473234767,0.24669048423531034,0.2645684092061696,0.8418714322163608,0.794769796786342,0.8926766876759337,0.4895225622097869,0.485163703599704,0.49463862138703224,0.20474187380497133,0.19901488883937782,0.21031873302085224,0.3648779834633281,0.3634250308132707,0.36641375102789225
OCF,Black_NH,0.6674829047236814,0.6659838928458935,0.669054120647436,0.31753078490880715,0.30770455019973064,0.32701401547153,0.33498154497295374,0.3167421933493928,0.35380631819540437,0.0,7.741203900053543e-06,0.0014707298404697904,0.0,2.1109488435316902e-05,0.004838334905517721,0.6925824502917014,0.6867454189262545,0.6988469651478291,0.39495219885277244,0.38734941333243084,0.402244856236642,0.5623137950657785,0.5568483261619697,0.5679896076327459
EO,Black_NH,0.6105503002469036,0.5782995407390848,0.6431719231042786,0.11485739924745753,0.09904577295489095,0.12739523754912738,0.09820868815147432,0.06922553234345943,0.1246553066953353,0.2829664517513168,0.20414251102646652,0.35579387923174105,0.9329949780714764,0.6770342200184746,1.1853287277064728,0.7330634599357067,0.6527544564933777,0.7958772865720483,0.44695984703632885,0.3435096972892122,0.5392080173051915,0.6078398553878084,0.5172250531357447,0.6836700308879502
