c,accuracy,DPD,OCF_violation,rho_AIAN_NH,TPR_AIAN_NH,FPR_AIAN_NH,PPV_AIAN_NH,rho_Asian_NH,TPR_Asian_NH,FPR_Asian_NH,PPV_Asian_NH,rho_Black_NH,TPR_Black_NH,FPR_Black_NH,PPV_Black_NH,rho_Hispanic,TPR_Hispanic,FPR_Hispanic,PPV_Hispanic,rho_Other_NH,TPR_Other_NH,FPR_Other_NH,PPV_Other_NH,rho_White_NH,TPR_White_NH,FPR_White_NH,PPV_White_NH,TPR_high_burden,rho_high_burden,model
0.5,0.6781464961033947,0.15881964953575864,0.00023897825358185976,0.24473026080743124,0.3453815261044177,0.1483036026582721,0.6905109489051094,0.12243767313019391,0.1999245567710298,0.09732241105269593,0.3996983408748115,0.28125732266595255,0.3895701869270151,0.14210325047801148,0.778862175672459,0.23681398275903012,0.33124404552975983,0.15185419110349183,0.6624548736462094,0.22941095323492897,0.3407585791691752,0.13521772345301758,0.6806975345760673,0.1632745006328069,0.29002845999789184,0.10188975895619148,0.5795681937862033,0.3895701869270151,0.28125732266595255,RandomForest
0.55,0.6786977108078724,0.17437288769920087,0.0003356899545758745,0.26920328688817435,0.37312887915297555,0.1696397341727877,0.6781685467816855,0.13490304709141274,0.21652206714447378,0.10844846558258955,0.3928815879534565,0.3092759347906136,0.42385998333134894,0.16206500956022946,0.7706461738283364,0.26049063145645823,0.35927393070250213,0.17161418388522964,0.6532044853678549,0.2520347634156435,0.3655930162552679,0.15597147950089127,0.6647509578544061,0.17945578605623727,0.31382945082744806,0.11438095335327568,0.5705825986968187,0.42385998333134894,0.3092759347906136,RandomForest
0.6,0.6793479917495605,0.19048823151278857,0.00010012839991163002,0.2936763129689175,0.4008762322015334,0.19097586568730326,0.6678832116788321,0.1469067405355494,0.23047906450396077,0.11981904878346986,0.38403519798868635,0.33739497204833796,0.45648291463269436,0.18439770554493307,0.7607897608889771,0.28416728015388637,0.3889585318156747,0.18988541008752144,0.6482533845896707,0.2750034487515519,0.39479229379891634,0.17366946778711484,0.6578881364434411,0.19585717823144225,0.3379045008959629,0.12706612624937466,0.5629071625489473,0.45648291463269436,0.33739497204833796,RandomForest
0.65,0.6792768672715634,0.2062342309127105,0.00020623318626639524,0.3181493390496606,0.4249726177437021,0.21580972367960827,0.6535654126895003,0.1592797783933518,0.24820822331195774,0.13045604597139016,0.3814492753623188,0.3655140093060623,0.4903559947612811,0.2051242829827916,0.7543731110907592,0.30784392885131445,0.4164368450082736,0.21014165839574123,0.6406695980868626,0.29790315905642156,0.4235400361228176,0.19162210338680927,0.6515397082658023,0.2121175645187916,0.3605565510698851,0.14023114069566817,0.5545989590933411,0.4903559947612811,0.3655140093060623,RandomForest
0.7,0.6790431725581443,0.22225723862288177,7.482023301050467e-05,0.342443729903537,0.4508944870390654,0.2385449457852396,0.6442357850808555,0.1713758079409049,0.26329686910599776,0.14158210050128378,0.3760775862068966,0.39363304656378667,0.5242290748898678,0.22585086042065008,0.7488732035036993,0.33152057754874253,0.44411572983001557,0.23021745014887665,0.6344555873925501,0.3208028693612912,0.45018061408789883,0.21135727018079958,0.6430875080627821,0.22842609915809167,0.3830504901444081,0.15354419136489397,0.5471325976000843,0.5242290748898678,0.39363304656378667,RandomForest
0.75,0.6781033133846107,0.23763389360913803,0.0006558234827279354,0.3669167559842801,0.4790069368382621,0.2595313046519762,0.6387536514118792,0.18411819021237305,0.2783855149000377,0.15356400537963077,0.37011033099297896,0.4217520838215111,0.5548874866055483,0.2507074569789675,0.7398206206841813,0.3552447220309198,0.4711928997643283,0.25092483984480735,0.6281837021191257,0.34384052972823836,0.47486453943407586,0.23300229182582124,0.6328986960882648,0.2447071204534199,0.40486982186149467,0.1671431050852995,0.5398226357286411,0.5548874866055483,0.4217520838215111,RandomForest
0.8,0.6766706631849542,0.25380809848178776,0.0002619777451380568,0.39138978206502323,0.5060240963855421,0.28156698146204967,0.6325878594249201,0.19602954755309326,0.2942285929837797,0.16420100256755105,0.3674046161092793,0.449837646034881,0.5839385641147755,0.27755258126195026,0.7299449322815895,0.3788976228359733,0.49766835481121197,0.2720382567896779,0.6220620495142588,0.3666022899710305,0.4998494882600843,0.25388337153043034,0.62483537158984,0.26101909426071646,0.4260250869611047,0.18110955701436462,0.5325313587013808,0.5839385641147755,0.449837646034881,RandomForest
0.8500000000000001,0.675202450746299,0.2697387700885426,0.00019648330885359196,0.41586280814576637,0.5304855786783498,0.30605106680657573,0.6241408934707904,0.2082179132040628,0.3093172387778197,0.175449321432938,0.36363636363636365,0.4779566832926054,0.6143588522443147,0.3027151051625239,0.7227903067656535,0.40259801942577594,0.5226896655468084,0.2945502120364522,0.6148764230519672,0.3895709753069389,0.5276941601444912,0.2727272727272727,0.6207507082152974,0.27733450723600944,0.44711710762095497,0.1951117418248272,0.5260168650793651,0.6143588522443147,0.4779566832926054,RandomForest
0.9,0.6725733852203335,0.2857952528430683,8.644345943877966e-05,0.44033583422650946,0.5593282219788244,0.32633788037775446,0.621501014198783,0.2203139427516159,0.3228970199924557,0.187064433304805,0.35875943000838223,0.5061091955946841,0.641624002857483,0.3320076481835564,0.7128778358357034,0.4263221639079532,0.5460562603419746,0.31859604800144364,0.6066176470588235,0.41247068561180855,0.5516255267910897,0.29475426534250065,0.612876254180602,0.293646481043306,0.46689153578581216,0.20974690910575913,0.5187683730953468,0.641624002857483,0.5061091955946841,RandomForest
0.95,0.6702338979262135,0.3002820218395146,0.0017446969312303155,0.4648088603072526,0.5878057685286601,0.34697446659671216,0.6187548039969254,0.2339796860572484,0.3440211241041117,0.19831275217019195,0.35990528808208366,0.534261707896763,0.6667460411953804,0.3640535372848948,0.7017543859649122,0.44992756892825764,0.5699242842099985,0.3419651718848687,0.5999155494563496,0.43537039591667814,0.5766104756170981,0.3158899923605806,0.6069391634980988,0.31002723821053213,0.48743543796774536,0.22411152742753881,0.5129789452665676,0.6667460411953804,0.534261707896763,RandomForest
1.0,0.6674829047236814,0.31753078490880715,0.0,0.4892818863879957,0.6119021540708288,0.37180832458901714,0.6119021540708288,0.24478301015697138,0.35760090531874766,0.20821616334515222,0.35760090531874766,0.5623137950657785,0.6925824502917014,0.39495219885277244,0.6925824502917014,0.4736042176256857,0.5941934513363085,0.3651087250744383,0.5941934513363085,0.4582701062215478,0.6012944009632751,0.3372803666921314,0.6012944009632751,0.32627386782589557,0.5069041846737641,0.2387977416818957,0.5069041846737641,0.6925824502917014,0.5623137950657785,RandomForest
1.05,0.6641425944177446,0.3333691204121455,5.670733486148678e-05,0.5137549124687388,0.6356334428623586,0.3969919552291011,0.6053546592489569,0.25706371191135735,0.37344398340248963,0.21934221787504585,0.35560344827586204,0.5904328323235029,0.7185379211810929,0.42585086042065007,0.6843179498809389,0.4972808663231138,0.6177606177606177,0.3888838762068032,0.5883476599808978,0.48116981652641744,0.6249247441300422,0.35956200662083015,0.5951834862385321,0.34258928080118856,0.5254980499631074,0.2540097397625295,0.5004718212299476,0.7185379211810929,0.5904328323235029,RandomForest
1.1,0.6605660492384601,0.3492409309598384,8.791199508828561e-05,0.5382279385494819,0.655713764147499,0.4256733123469745,0.5960836375705277,0.2693444136657433,0.3851376838928706,0.2318131800953662,0.3500171408981831,0.6185853446255817,0.7417549708298607,0.46034416826003827,0.6742789111964933,0.521005010805291,0.6415784987213559,0.41252368492285485,0.5832079857787502,0.5041385018623258,0.6488561107766406,0.3817163228927935,0.5898207689150362,0.3589012546084851,0.5442500263518499,0.26914006268568336,0.4947727512289545,0.7417549708298607,0.6185853446255817,RandomForest
1.15,0.6563595443969152,0.3635095527050973,0.0020758646165667358,0.5627009646302251,0.678714859437751,0.4515564882826163,0.5901587301587301,0.2831948291782087,0.4013579781214636,0.2448954639931532,0.34691881317248124,0.646704381883306,0.7650315513751638,0.4946845124282983,0.6652000621150163,0.54463416371797,0.6641929499072357,0.43706577641432826,0.5775704194645505,0.5270382121671955,0.6711318482841662,0.405143875732111,0.58356236094752,0.37523042425576403,0.561926847264678,0.2848165882244842,0.48861188763118096,0.7650315513751638,0.646704381883306,RandomForest
1.2000000000000002,0.6524502382670013,0.3811357492177024,7.057801456698225e-05,0.5871739907109682,0.701715954728003,0.4774396642182581,0.5847277152418618,0.29372114496768237,0.41682384006035456,0.25382076048416674,0.3473750392958189,0.6748568941853847,0.7881890701273961,0.5292543021032505,0.6567460317460317,0.5684058039848964,0.6868074010931153,0.4618785527384282,0.5722581992897431,0.5499379224720651,0.6926550270921132,0.42920804685510566,0.5771980433964631,0.3915320805590711,0.5801201644355434,0.3002021460147628,0.4834292239448373,0.7881890701273961,0.6748568941853847,RandomForest
1.25,0.6481497475081031,0.3968736595879775,0.0002261874335747023,0.6118256520185781,0.7247170500182548,0.5036726128016789,0.5795620437956205,0.3060018467220683,0.4296491889852886,0.2659249296980071,0.3436934218467109,0.7028755063100458,0.8112275270865579,0.5636711281070745,0.6489974758298804,0.5920112090052008,0.7085694228551371,0.4871424704502391,0.566849853584179,0.5728376327769348,0.714328717639976,0.4531448943213649,0.5714629741119808,0.40784405436636767,0.5978286075682513,0.3158378339748236,0.4782608695652174,0.8112275270865579,0.7028755063100458,RandomForest
1.3,0.642939879494813,0.4129047563277957,8.126463391308481e-05,0.6361200428724545,0.7462577583059511,0.5306051066806575,0.5739960685200787,0.31819021237303785,0.44586948321388153,0.276806455556914,0.343006384213581,0.7310949687008336,0.8318847481843077,0.6016061185468451,0.6398351648351648,0.6157116055950035,0.7294790151933009,0.5133537850762429,0.5611138967099935,0.5958063181128431,0.7367549668874173,0.4765724471606825,0.5666821023385042,0.4241560281736642,0.6141878359860862,0.3321269231947238,0.47245218152775864,0.8318847481843077,0.7310949687008336,RandomForest
1.35,0.6378976620368019,0.4289774171416151,0.00037908920828377336,0.6604144337263308,0.768893756845564,0.5564882826162995,0.5696510684338653,0.3304709141274238,0.4575631837042625,0.28927741777723437,0.3389214864487287,0.7594483312690389,0.853851649005834,0.6381644359464627,0.6322122801604443,0.639364506400057,0.7518928947500376,0.5381214472615717,0.5569587341678119,0.6186370533866741,0.75737507525587,0.5012732365673542,0.5610435946036347,0.44047144114895725,0.630578686623801,0.34840580301993895,0.46709349990240095,0.853851649005834,0.7594483312690389,RandomForest
1.4,0.632131498999177,0.4444810022014092,0.0001292306327306858,0.684887459807074,0.7864184008762322,0.5876180482686254,0.5618153364632238,0.3427516158818098,0.4692568841946435,0.3017483799975547,0.33512931034482757,0.787232618083219,0.8752232408620074,0.6741873804971319,0.6251647744185057,0.6630411550974851,0.7726019154590583,0.5644681043038888,0.5518624641833811,0.6415367636915437,0.7737808549066827,0.5296664120193532,0.5527362649177507,0.4567834149562538,0.6462949299040792,0.3650062787777313,0.4616392356457709,0.8752232408620074,0.787232618083219,RandomForest
1.4500000000000002,0.6261951452463447,0.45921130446375036,0.00149479387978694,0.7093604858878171,0.8079591091639284,0.614900314795383,0.5572903550742886,0.356140350877193,0.4828366654092795,0.3150751925663284,0.3318641431164117,0.8153516553409433,0.8961185855458983,0.7115869980879541,0.6180153549287679,0.6867415516872878,0.7913052198766485,0.5926644410358206,0.5457154713327339,0.664505449027452,0.7928958458759783,0.5558950853068501,0.5468133693170023,0.4730988279315468,0.661937388004638,0.3816475921142635,0.4565068841685931,0.8961185855458983,0.8153516553409433,RandomForest
1.5,0.6194967435149717,0.4763504344445657,0.00039351403111937045,0.7338335119685602,0.8247535596933188,0.6467296257432669,0.5499026290165531,0.3672206832871653,0.49377593360995853,0.32620124709622206,0.3291425697762132,0.843571117731731,0.9154661269198714,0.7512045889101339,0.6102380952380952,0.7103944524923413,0.8102592388306674,0.6205449787963547,0.5401818546499967,0.6877500344875155,0.810957254665864,0.5835243188184365,0.5403670644870123,0.48945551092279754,0.6764625276694424,0.3988912597372102,0.4509338242527298,0.9154661269198714,0.843571117731731,RandomForest
