method,high_burden_group,accuracy_pt,accuracy_ci_lo,accuracy_ci_hi,DPD_pt,DPD_ci_lo,DPD_ci_hi,EOD_pt,EOD_ci_lo,EOD_ci_hi,OCF_violation_pt,OCF_violation_ci_lo,OCF_violation_ci_hi,OCF_violation_ratio_spread_pt,OCF_violation_ratio_spread_ci_lo,OCF_violation_ratio_spread_ci_hi,TPR_Black_NH_pt,TPR_Black_NH_ci_lo,TPR_Black_NH_ci_hi,FPR_Black_NH_pt,FPR_Black_NH_ci_lo,FPR_Black_NH_ci_hi,rho_Black_NH_pt,rho_Black_NH_ci_lo,rho_Black_NH_ci_hi
Unmitigated,Black_NH,0.6610054969060852,0.6595471275871528,0.6624535785773072,0.19618901559565632,0.19122793977555058,0.2013101763008416,0.19746044746125474,0.1868760832594363,0.20824345817302722,0.3378754161029773,0.3228029970675712,0.3541001977347413,1.1140404259474945,1.0463106327796328,1.1864955334025185,0.6035242290748899,0.5960382010666517,0.6108291778529249,0.30906309751434036,0.3014321449838595,0.3167437166556193,0.47464265390151644,0.4690233327635702,0.4803009410943954
DP,Black_NH,0.6528896859346265,0.6513015779473476,0.654441723650921,6.980073438511702e-05,5.4344468484715526e-05,0.000767776555419379,0.1138278719202771,0.1058133804555107,0.12144798994639446,0.255311692299647,0.24639611381382942,0.26436412369226786,0.8418119013198255,0.7944444394327019,0.8929129979214868,0.4848791522800333,0.48018436601355663,0.4897838969378965,0.21078393881453156,0.20495086684476738,0.21687125515994016,0.36491145850768253,0.3634193535487394,0.36638533956546626
OCF,Black_NH,0.6637717310681881,0.6624301456019671,0.6653139256647599,0.317597734997516,0.307764589411568,0.3272634796090747,0.3346866974921886,0.3178657788222173,0.35315662962515754,5.539655577030107e-05,7.715477485157983e-06,0.001349717286315134,0.00011906179307064058,2.1026276801550114e-05,0.004518242653873466,0.6866293606381713,0.6809529368562196,0.692765776046245,0.40275334608030594,0.3950846908383935,0.4100992492276555,0.5623807451544873,0.5567798414827858,0.5680546900705004
EO,Black_NH,0.6161996159278188,0.5776139515743911,0.6347597389731657,0.1118030100895886,0.09608591555210227,0.12256089222937945,0.09417349939586583,0.06498104152918291,0.11957138353891361,0.2671710369694776,0.21890788050642235,0.35264862953188114,0.8809144484652189,0.7126204971278517,1.1595666803139586,0.7030003571853792,0.6542565575420445,0.7857474023403728,0.42164435946462714,0.3620684903502442,0.532557063769661,0.5798547183075018,0.5275427075352803,0.6750579160989252
