method,high_burden_group,accuracy_pt,accuracy_ci_lo,accuracy_ci_hi,DPD_pt,DPD_ci_lo,DPD_ci_hi,EOD_pt,EOD_ci_lo,EOD_ci_hi,OCF_violation_pt,OCF_violation_ci_lo,OCF_violation_ci_hi,OCF_violation_ratio_spread_pt,OCF_violation_ratio_spread_ci_lo,OCF_violation_ratio_spread_ci_hi,TPR_Black_NH_pt,TPR_Black_NH_ci_lo,TPR_Black_NH_ci_hi,FPR_Black_NH_pt,FPR_Black_NH_ci_lo,FPR_Black_NH_ci_hi,rho_Black_NH_pt,rho_Black_NH_ci_lo,rho_Black_NH_ci_hi
Unmitigated,Black_NH,0.6665100234710777,0.6650795324073604,0.6681034657942063,0.18857163891625106,0.18340134211019052,0.19397982482638265,0.17740098596938952,0.1674267997025221,0.18883935924048562,0.2919270899284367,0.2781907901091249,0.3090769580088735,0.963035847653155,0.9058876200462023,1.0443775490435996,0.6319204667222288,0.6245453032534635,0.6387228104147259,0.32764818355640535,0.3195141177632517,0.33567569132355984,0.4987446858367087,0.4930760269973986,0.5038507446136958
DP,Black_NH,0.6577210701185746,0.6561727791381745,0.6592427529237241,7.385429368461649e-05,6.591208132368242e-05,0.001432352922369274,0.11367757328437775,0.1057751849018569,0.12151458765156137,0.2553297473234767,0.2468647259913771,0.26436322222609865,0.8418714322163608,0.7964027475994875,0.892746899275072,0.4870817954518395,0.4824329939580994,0.4919367428353036,0.2078776290630975,0.20217556410773896,0.21386224010260885,0.3648779834633281,0.36344107703883893,0.366366968559544
OCF,Black_NH,0.6688063280464138,0.6673633266950487,0.6704129156971723,0.31753078490880715,0.3075162878709467,0.3268789485074772,0.33218247003503,0.31583063652938265,0.35034713361624,3.870375655085298e-06,2.296365789957642e-05,0.0017192572752666594,1.0540739959763457e-05,5.037637613467538e-05,0.005683726662013548,0.6920466722228836,0.6861373923509695,0.6984372905293413,0.39564053537284893,0.388155540739981,0.4029091391899365,0.5623137950657785,0.5568483261619697,0.5679576855979733
EO,Black_NH,0.6021169692843862,0.5922126317072923,0.6608020300958148,0.11213144571174638,0.10309757780955593,0.12992362508456864,0.09313396553603481,0.06985357741548344,0.12972674173628826,0.3051742945174931,0.15545579534641754,0.3334685388932125,1.0062185197542646,0.5156442032340629,1.1061369362285505,0.7574115966186451,0.5751858833119841,0.7770034143203188,0.47717017208413004,0.27329879939000634,0.5053822684368763,0.6347537910487732,0.4431886864944264,0.658178822496546
