c,accuracy,DPD,OCF_violation,rho_AIAN_NH,TPR_AIAN_NH,FPR_AIAN_NH,PPV_AIAN_NH,rho_Asian_NH,TPR_Asian_NH,FPR_Asian_NH,PPV_Asian_NH,rho_Black_NH,TPR_Black_NH,FPR_Black_NH,PPV_Black_NH,rho_Hispanic,TPR_Hispanic,FPR_Hispanic,PPV_Hispanic,rho_Other_NH,TPR_Other_NH,FPR_Other_NH,PPV_Other_NH,rho_White_NH,TPR_White_NH,FPR_White_NH,PPV_White_NH,TPR_high_burden,rho_high_burden,model
0.5,0.6749865371523791,0.15885312458011305,0.00011451133750325256,0.24473026080743124,0.3384446878422782,0.15494928296607205,0.6766423357664234,0.12243767313019391,0.19388909845341382,0.09927864042058931,0.38763197586727,0.28129079771030696,0.38605786403143233,0.1466921606118547,0.7717481851719624,0.23681398275903012,0.31946046231760516,0.1624560137146982,0.6388888888888888,0.22920402814181268,0.3353401565322095,0.13941940412528647,0.6704784832982245,0.16325386562482805,0.2872773268683462,0.1031914567785276,0.5741431249868335,0.38605786403143233,0.28129079771030696,LogisticRegression
0.55,0.6756901614525651,0.17464989600945016,9.717023921027947e-05,0.26920328688817435,0.36363636363636365,0.17873382301504023,0.6609157266091573,0.13462603878116344,0.2074688796680498,0.11101601662794963,0.3772290809327846,0.3092759347906136,0.4209429694011192,0.16581261950286807,0.7653425695421583,0.2605143793488328,0.3483427769142055,0.18149418027609854,0.6332725615314494,0.2520347634156435,0.3645394340758579,0.1568627450980392,0.6628352490421456,0.17945578605623727,0.31099399177822284,0.11575411693840672,0.5654273668072058,0.4209429694011192,0.3092759347906136,LogisticRegression
0.6,0.6757485851309198,0.1903035593059557,0.00027096157046499085,0.2936763129689175,0.3910186199342826,0.20041972717733472,0.6514598540145985,0.14709141274238227,0.22218030931723878,0.12275339283530994,0.3697426239799121,0.33739497204833796,0.4533277771163234,0.18845124282982792,0.755531302708602,0.28416728015388637,0.37702451988166275,0.20062257511504106,0.6283636971419021,0.2750034487515519,0.3922335942203492,0.17583396995161701,0.6536242789064459,0.19576432069553734,0.33406767155054284,0.12878640925379534,0.5567794525842381,0.4533277771163234,0.33739497204833796,LogisticRegression
0.65,0.6756698401731372,0.20586488649904477,0.0006638541448507561,0.3181493390496606,0.41767068273092367,0.22280517663518712,0.6423357664233577,0.15964912280701754,0.23726895511127877,0.13449076904267027,0.3637941006362059,0.3655140093060623,0.48535539945231576,0.21154875717017207,0.7466800989101566,0.30784392885131445,0.40580654866369154,0.2197058558152125,0.624315359098974,0.29790315905642156,0.4194762191450933,0.19505984211866564,0.6452882611715675,0.2120900511748198,0.35697269948350374,0.14192590021337634,0.5491575994421832,0.48535539945231576,0.3655140093060623,LogisticRegression
0.7,0.6753523201820787,0.22225723862288177,0.00012209872989753283,0.342443729903537,0.4465133260313983,0.2427422175585869,0.6379760041731872,0.1713758079409049,0.2523576009053187,0.14512776623059054,0.3604525862068966,0.39363304656378667,0.5182759852363377,0.23349904397705545,0.7403690790033166,0.33152057754874253,0.4346888632602918,0.23869890823784173,0.6209885386819485,0.32087184439232996,0.4459662853702589,0.21504965622612682,0.6369303525365434,0.2283917074781269,0.37910825339938864,0.155402301197562,0.5415832191419838,0.5182759852363377,0.39363304656378667,LogisticRegression
0.75,0.6743870594092604,0.2380032380228038,0.0002180217476316741,0.3669167559842801,0.47535596933187296,0.26302903112976567,0.6338851022395326,0.1837488457987073,0.27121840814786874,0.15539797041203082,0.3613065326633166,0.4217520838215111,0.549112989641624,0.25812619502868067,0.7321215969521391,0.3552447220309198,0.46116431830717547,0.25994766759902554,0.6148138244535063,0.34370257966616086,0.473208910295003,0.23414820473644002,0.6309452137266707,0.24471055962141638,0.4006851480973964,0.16917477462761232,0.5342356016527532,0.549112989641624,0.4217520838215111,LogisticRegression
0.8,0.6730890376858127,0.2530694096544563,0.001174155453962364,0.39138978206502323,0.5071193866374589,0.2805176635187128,0.6339570972158831,0.19676823638042473,0.28668427008675973,0.16762440396136447,0.3566400750821211,0.449837646034881,0.5776878199785689,0.2855831739961759,0.7221312695341568,0.3788976228359733,0.48723863009577295,0.2814219976540648,0.6090253838921968,0.3666022899710305,0.4992474413004214,0.25439266615737205,0.6240827845719661,0.26103972926869534,0.4221882576156846,0.1829982950310876,0.5276936049115966,0.5776878199785689,0.449837646034881,LogisticRegression
0.8500000000000001,0.6713210863755982,0.2690924173646275,0.000995021830110768,0.41586280814576637,0.5348667396860168,0.3018537950332284,0.6292955326460481,0.20886426592797783,0.3025273481705017,0.17850592982027141,0.35455349248452694,0.4779566832926054,0.6070365519704727,0.3121223709369025,0.714175654853621,0.4025742715334014,0.5119089404803691,0.3042046377334657,0.6022298253893346,0.3895709753069389,0.5273931366646598,0.27298192004074356,0.6203966005665722,0.27734138557200244,0.4427532412775377,0.19723529591930494,0.5208700181047097,0.6070365519704727,0.4779566832926054,LogisticRegression
0.9,0.6688901533240533,0.28582872788742275,6.684396373343957e-05,0.44033583422650946,0.5604235122307412,0.3252885624344176,0.6227180527383367,0.2203139427516159,0.3191248585439457,0.18828707665973834,0.35456831517183574,0.5061426706390386,0.6340635789974997,0.3417973231357553,0.7044312169312169,0.4262509202308295,0.5368299654013939,0.3267617071190111,0.596467769792189,0.41247068561180855,0.551475015051174,0.29488158899923606,0.6127090301003344,0.293653359379299,0.4626119953620744,0.2118296256214969,0.5140012882824853,0.6340635789974997,0.5061426706390386,LogisticRegression
0.95,0.6668326237819933,0.3016001133020523,6.549443634715152e-05,0.4648088603072526,0.5841548010222709,0.35047219307450156,0.6149116064565718,0.23259464450600184,0.33647680120709167,0.19892407384765864,0.3541087733227471,0.5341947578080541,0.6613287296106679,0.3708604206500956,0.6961398671512721,0.44992756892825764,0.5620518477661335,0.34904809167192996,0.5916288398606566,0.43537039591667814,0.577212522576761,0.3153806977336389,0.6075728770595691,0.31000660320255324,0.48314535680404763,0.22615851106187915,0.5084978921677391,0.6613287296106679,0.5341947578080541,LogisticRegression
