method,high_burden_group,accuracy_pt,accuracy_ci_lo,accuracy_ci_hi,DPD_pt,DPD_ci_lo,DPD_ci_hi,EOD_pt,EOD_ci_lo,EOD_ci_hi,OCF_violation_pt,OCF_violation_ci_lo,OCF_violation_ci_hi,OCF_violation_ratio_spread_pt,OCF_violation_ratio_spread_ci_lo,OCF_violation_ratio_spread_ci_hi,TPR_Black_NH_pt,TPR_Black_NH_ci_lo,TPR_Black_NH_ci_hi,FPR_Black_NH_pt,FPR_Black_NH_ci_lo,FPR_Black_NH_ci_hi,rho_Black_NH_pt,rho_Black_NH_ci_lo,rho_Black_NH_ci_hi
Unmitigated,Black_NH,0.6660858167630234,0.6645310483748057,0.6675492028978144,0.1852549938829739,0.1802109012052031,0.1907881674146641,0.16925833525894865,0.159283801311663,0.18017556442354615,0.2865318183752526,0.271242290140989,0.3029593459819343,0.9551279429297724,0.8874614165724316,1.0326768688492383,0.630372663412311,0.6231351748583638,0.6370289641660609,0.32826003824091776,0.31983527251156096,0.33614726702076125,0.49814213503832894,0.49256383613944593,0.5035844768438452
DP,Black_NH,0.6572435200520225,0.6556508397768723,0.6587679970330932,0.0002459310636719336,5.331736293325562e-05,0.0007439751258153519,0.11331024727085198,0.10523522034878931,0.12125900443141686,0.2553297473234767,0.24638200857811846,0.2641886843663044,0.8418714322163608,0.7941012629902862,0.892374240646635,0.4866055482795571,0.4822498952835742,0.4914684207538748,0.20848948374760995,0.20295443715422762,0.2142858534358963,0.3648779834633281,0.3633978257413216,0.36637363478721857
OCF,Black_NH,0.6682678141415783,0.6667411780245684,0.6698100722421484,0.31753078490880715,0.307490897794591,0.32727153921881125,0.33688765646284796,0.3196659945030268,0.3565165485334704,6.7583891057783e-05,1.553359958178002e-05,0.0012246884114899428,0.0001505117399156486,4.220269716493918e-05,0.0039572567855049616,0.6922252649124896,0.6868046188882458,0.6983169310230489,0.3954110898661568,0.38729667774643506,0.40261777438248025,0.5623137950657785,0.5567798414827858,0.5679570664138686
EO,Black_NH,0.5905160588910677,0.586898617136935,0.6468506462166858,0.10599576990422899,0.10062815376104631,0.1295091612247726,0.0835944256804475,0.06569109889003845,0.1279812378884616,0.3300610369717924,0.19549032966807237,0.3430456600617032,1.0882749104914455,0.6385202265068385,1.1508236550502537,0.7772949160614359,0.635322310931564,0.7885007934588159,0.5080688336520076,0.3310554547931303,0.5172952629867971,0.6594583737823453,0.5021316697315589,0.6694986332999806
