accuracy,DPD,EOD,OCF_violation,OCF_violation_ratio_spread,TPR_AIAN_NH,FPR_AIAN_NH,rho_AIAN_NH,pi_AIAN_NH,TPR_Asian_NH,FPR_Asian_NH,rho_Asian_NH,pi_Asian_NH,TPR_Black_NH,FPR_Black_NH,rho_Black_NH,pi_Black_NH,TPR_Hispanic,FPR_Hispanic,rho_Hispanic,pi_Hispanic,TPR_Other_NH,FPR_Other_NH,rho_Other_NH,pi_Other_NH,TPR_White_NH,FPR_White_NH,rho_White_NH,pi_White_NH,bootstrap_id,method
0.6643966104105915,0.22436208632210997,0.2116853351065284,0.3444274672416616,1.1231511240453873,0.551129835312141,0.32914828639294197,0.43342929111191075,0.46977329974811083,0.6257850018470632,0.44221105527638194,0.4879440456469722,0.24912571323394073,0.606887937187723,0.2947990181037128,0.4705842937550255,0.5632538193513803,0.6606971699540938,0.4336646018093498,0.5401542757086745,0.4690502105910747,0.5990368183936616,0.3359589897474369,0.4532732940768964,0.4459300311742293,0.49272250312043836,0.23052572016985354,0.3157921893865645,0.3252002875747746,0,Unmitigated
0.6563239821579167,0.00037693342794681284,0.11700747730901118,0.24927465873114307,0.8128652322417159,0.4768288012255841,0.2629793009840516,0.3634400863620007,0.46977329974811083,0.49279645363871444,0.32013727172447604,0.36315111356524943,0.24912571323394073,0.48733047822983583,0.20312979441546486,0.36320691503618335,0.5632538193513803,0.4813600363214448,0.2585676723561656,0.36306847759216315,0.4690502105910747,0.5019418983998757,0.25131282820705175,0.36307585729130587,0.4459300311742293,0.547282574202966,0.27428390826277343,0.3630631529340539,0.3252002875747746,0,DP
0.6668605655412064,0.3140360759315386,0.3298842735601191,0.000411873803393344,0.000932111231940258,0.5890463423975488,0.3640990838140482,0.46977329974811083,0.46977329974811083,0.36313261913557443,0.2114229685010418,0.2492177434198417,0.24912571323394073,0.6930168926956936,0.39590365142681805,0.5632538193513803,0.5632538193513803,0.5929475861373152,0.3595971299968804,0.4690502105910747,0.4690502105910747,0.5903371135622184,0.3304576144036009,0.4463456875649463,0.4459300311742293,0.5038503035816285,0.23912544795558932,0.32521404713336793,0.3252002875747746,0,OCF
0.6067095784350582,0.11189512105829735,0.09524122170374372,0.2842900943374837,0.9270478384526821,0.6821141325162773,0.4584323040380047,0.5635120546959338,0.46977329974811083,0.643516808274843,0.4561833558034073,0.5028529357629302,0.24912571323394073,0.7387580299785867,0.45481742865909786,0.6147480568212276,0.5632538193513803,0.6834485193966604,0.45683854004189134,0.5631299985802849,0.4690502105910747,0.7225415566257574,0.4561140285071268,0.5749220644267405,0.4459300311742293,0.7226406312805432,0.4560302596230801,0.5427320291565046,0.3252002875747746,0,EO
0.6633678456395614,0.22203755118661472,0.20942515028949663,0.33903383107151375,1.0976890005654993,0.5512820512820513,0.325,0.43590664272890484,0.49012567324955114,0.6164887743835112,0.44125582536178565,0.48505197313954557,0.2499310091067979,0.6043790337173532,0.3028702640642939,0.471495074888679,0.5592700040480367,0.6607329842931937,0.43057415840700064,0.5393022872352955,0.47240477704755846,0.6031698113207548,0.3465545374670516,0.46306195175438597,0.45401589912280704,0.4936606050377621,0.23183067507228902,0.3172647360486808,0.3262960082052412,1,Unmitigated
0.6545865127668438,0.0015048827699480904,0.11205505274893432,0.2509913762503692,0.8126341612457532,0.47509157509157507,0.2584507042253521,0.3646319569120287,0.49012567324955114,0.4965034965034965,0.3225410841304881,0.366019685401527,0.2499310091067979,0.4859762349960794,0.21048603138155378,0.36455943867224394,0.5592700040480367,0.4801296434804288,0.26109474060183946,0.3645678750618331,0.47240477704755846,0.4902641509433962,0.2599472825404795,0.3645148026315789,0.45401589912280704,0.5479621113033205,0.275704754217286,0.364541243038968,0.3262960082052412,1,DP
0.6658140196506772,0.3083608621467931,0.3207763598397279,0.0012318215889367936,0.004048582995951344,0.6113553113553114,0.373943661971831,0.4903052064631957,0.49012567324955114,0.36768494663231505,0.2120431689968114,0.25094287554042866,0.2499310091067979,0.688461306472043,0.39540757749712974,0.5593037376872217,0.5592700040480367,0.5943654948890551,0.36324671845700507,0.4724283325088922,0.47240477704755846,0.5939622641509434,0.33764277645286805,0.45401589912280704,0.45401589912280704,0.5041981350997848,0.24013752797049176,0.32629945000103255,0.3262960082052412,1,OCF
0.6068950101098365,0.11103916539122627,0.09967569644523055,0.2818567515598511,0.9125669109319954,0.6915750915750916,0.46338028169014084,0.5752244165170557,0.49012567324955114,0.6370997423629002,0.45707628157959285,0.5020697267960629,0.2499310091067979,0.7367754388081308,0.4561806352851129,0.6131088921872891,0.5592700040480367,0.6857142857142857,0.45785337976605056,0.5654959602383812,0.47240477704755846,0.7150188679245283,0.4551274005271746,0.5731222587719298,0.45401589912280704,0.7254651702459812,0.4570403899009921,0.5446263242309307,0.3262960082052412,1,EO
0.6644702750485171,0.2254098200943993,0.2160319017551875,0.3530972223056879,1.1693951807300345,0.5695684523809523,0.3299892511644572,0.4475269209709801,0.49060047453914946,0.6184012066365008,0.44728512296079864,0.4890484078777839,0.24406405300938708,0.6081233994401762,0.29295188155459595,0.47078194831815584,0.564232669108505,0.6596125186289121,0.43674860936658894,0.5425015322238461,0.4745179388053369,0.6124394673123487,0.33188553909044455,0.46030756442227766,0.457744527569964,0.4946330754535764,0.23125322120561115,0.3170917121294468,0.32591137681707794,2,Unmitigated
0.656255397839848,0.0002092290593841417,0.12339242054799685,0.2563357133495813,0.8489382779128336,0.47879464285714285,0.2551056968828377,0.364847599926994,0.49060047453914946,0.4894419306184012,0.32481129778427076,0.3649917172832689,0.24406405300938708,0.49097730927282474,0.2014188772362739,0.36479720420713063,0.564232669108505,0.48186785891703926,0.2591064058855195,0.3648107114233181,0.4745179388053369,0.5042372881355932,0.24706182933060808,0.36478248822388476,0.457744527569964,0.5498432668052814,0.2753677915159185,0.36482247156999664,0.32591137681707794,2,DP
