accuracy,DPD,EOD,OCF_violation,OCF_violation_ratio_spread,TPR_AIAN_NH,FPR_AIAN_NH,rho_AIAN_NH,pi_AIAN_NH,TPR_Asian_NH,FPR_Asian_NH,rho_Asian_NH,pi_Asian_NH,TPR_Black_NH,FPR_Black_NH,rho_Black_NH,pi_Black_NH,TPR_Hispanic,FPR_Hispanic,rho_Hispanic,pi_Hispanic,TPR_Other_NH,FPR_Other_NH,rho_Other_NH,pi_Other_NH,TPR_White_NH,FPR_White_NH,rho_White_NH,pi_White_NH,bootstrap_id,method
0.6657403550127516,0.18356731279801014,0.16865579853624552,0.2826307414105499,0.9216368178973259,0.5407889697433933,0.3169324737020699,0.42209427851745235,0.46977329974811083,0.5899519763575914,0.40237774237038854,0.44910730719676056,0.24912571323394073,0.6275279562217464,0.3270174900276158,0.4962811578665237,0.5632538193513803,0.6327498360490339,0.3894112928383618,0.5035492877762529,0.4690502105910747,0.5995028740096319,0.34108527131782945,0.4563214409421545,0.4459300311742293,0.49897395756203855,0.23372194383414302,0.3199819749782427,0.3252002875747746,0,Unmitigated
0.6568116928641827,0.00012770380535648274,0.11033624592476449,0.24923433659517555,0.8127337448992624,0.47950976637303716,0.2599253478113336,0.36308024469233535,0.46977329974811083,0.49796823051348355,0.3182988111288148,0.36305908337934845,0.24912571323394073,0.48334522959790627,0.20796256520405032,0.36307290270704906,0.5632538193513803,0.48675780658830653,0.2540220152413209,0.36318678718470493,0.4690502105910747,0.5016311946558956,0.2516879219804951,0.36314513335642534,0.4459300311742293,0.5478114620575854,0.27416666241862886,0.36315602995455903,0.3252002875747746,0,DP
0.6676175331998903,0.3141281061174396,0.33060119159525175,3.871769666663913e-06,1.0577757092455897e-05,0.5936422826503256,0.36002714625042415,0.46977329974811083,0.46977329974811083,0.361285555966014,0.2119132246598848,0.24912571323394073,0.24912571323394073,0.6918867475612658,0.39736115372813746,0.5632538193513803,0.5632538193513803,0.5972859809312415,0.35576451713534474,0.4690502105910747,0.4690502105910747,0.5883175392263477,0.3313328332083021,0.4459300311742293,0.4459300311742293,0.5047282574202966,0.2386870504513965,0.32520372746442294,0.3252002875747746,0,OCF
0.6031406537355591,0.10871437554916563,0.08532961617913082,0.2975204515471997,0.9701910020645095,0.7050938337801609,0.47166610111978285,0.5813242173443685,0.46977329974811083,0.6656815663095678,0.47113616864811864,0.5196024295969078,0.24912571323394073,0.7510111824886986,0.4700828474992329,0.6283168051460735,0.5632538193513803,0.71558290874237,0.47101029457640714,0.5857271307557617,0.4690502105910747,0.7338822432810316,0.47124281070267565,0.5883616210599238,0.4459300311742293,0.7364234487719225,0.47104282531898517,0.5573446803826533,0.3252002875747746,0,EO
0.6646836484825085,0.18315879389609846,0.17783607484582975,0.2899850859247356,0.9592267381741064,0.5432234432234432,0.3073943661971831,0.4229802513464991,0.49012567324955114,0.583364004416636,0.41280353200883,0.4554318829914451,0.2499310091067979,0.6215091380662283,0.3322617680826636,0.49402914586425584,0.5592700040480367,0.6352530541012217,0.38789177605143316,0.5047464254587426,0.47240477704755846,0.5965283018867924,0.34416970001255176,0.45874451754385964,0.45401589912280704,0.5004324712037467,0.23496745716300027,0.32158763156264414,0.3262960082052412,1,Unmitigated
0.6558692935307207,0.0002736888824966255,0.10847156643341282,0.24917253804117404,0.8067453132516419,0.4816849816849817,0.25246478873239436,0.36481149012567327,0.49012567324955114,0.49355907250644093,0.3215599705665931,0.3645478796798823,0.2499310091067979,0.4839254478557211,0.21308840413318025,0.36455943867224394,0.5592700040480367,0.4869608576414859,0.25502276989016875,0.3645914305231668,0.47240477704755846,0.4920754716981132,0.258692104932848,0.3646518640350877,0.45401589912280704,0.5492384287582802,0.2750814848116398,0.36453780124317664,0.3262960082052412,1,DP
0.6669113687397759,0.30906303136843044,0.32062000557973586,0.0003410321642949504,0.0011041589988958211,0.6106227106227107,0.37464788732394366,0.4903052064631957,0.49012567324955114,0.3662127346337873,0.21155261221486388,0.2502069726796063,0.2499310091067979,0.6868327402135231,0.3973976272483735,0.5592700040480367,0.5592700040480367,0.600598354525056,0.3576212161800161,0.47240477704755846,0.47240477704755846,0.5904905660377359,0.34052968495042046,0.45401589912280704,0.45401589912280704,0.5056959621956879,0.23941208325244454,0.32629945000103255,0.3262960082052412,1,OCF
0.6441642365803351,0.11740421685198438,0.10666095565508582,0.19723112539831716,0.6385747293553935,0.5853479853479854,0.3419014084507042,0.4612208258527828,0.49012567324955114,0.5222672064777328,0.33713514839342656,0.3834053904884555,0.2499310091067979,0.6289281621328187,0.33823191733639496,0.5008096073404399,0.5592700040480367,0.5819496384941412,0.3371729618715957,0.4528066332179116,0.47240477704755846,0.5924528301886792,0.33412827915149995,0.45141173245614036,0.45401589912280704,0.6195835618750264,0.3371785309233583,0.4293261652199652,0.3262960082052412,1,EO
0.6653898129426229,0.18404643158051992,0.1799186730192764,0.2957570439871701,0.9794947115334088,0.5554315476190477,0.3167323539949839,0.43383829165906185,0.49060047453914946,0.5761689291101055,0.4147796445093742,0.4541689674213142,0.24406405300938708,0.6305163480435948,0.324799506477483,0.4972949359857522,0.564232669108505,0.6311475409836066,0.39197918535797593,0.505468860496912,0.4745179388053369,0.6086561743341404,0.33188553909044455,0.45857578276530897,0.457744527569964,0.5004591174390746,0.23486097149009783,0.32142242891639206,0.32591137681707794,2,Unmitigated
0.6569285402208923,0.0002476267606014715,0.11798236996854802,0.2562218564163748,0.8485612040063479,0.47953869047619047,0.2547474023647438,0.36503011498448623,0.49060047453914946,0.48981900452488686,0.32456781105429755,0.3648996870973679,0.24406405300938708,0.4869870764099815,0.20658544108574953,0.36479720420713063,0.564232669108505,0.4869349230004968,0.25475506908307916,0.36492857479609636,0.4745179388053369,0.5042372881355932,0.24706182933060808,0.36478248822388476,0.457744527569964,0.5510464711283735,0.27495955951767387,0.3649394250018919,0.32591137681707794,2,DP
